keys,ja,en
STAGE_NAME_553,英霊眠りし道 水路,Heroic Spirit Sleeping Path Waterway
STAGE_NAME_554,英霊眠りし道 井戸,Heroic Spirit Sleeping Path Well
STAGE_NAME_555,英霊眠りし道 墓所,Heroic Spirit Sleeping Path Tomb
STAGE_NAME_556,英霊眠りし道 遺跡 深層,Heroic Spirit Sleeping Path Ruins: Deepest Level
STAGE_NAME_557,英霊眠りし道 フェルヤナ荒原,Heroic Spirit Sleeping Path: Feryana Wilderness
STAGE_NAME_558,旧英霊廟,Old Heroic Spirit Shrine
STAGE_NAME_559,メガドシスの記憶,Memory of Megadosys
STAGE_NAME_560,大地の記憶 メガドシス古道,Memory of Megadosys Old Road
STAGE_NAME_561,メガドシスの記憶 武神の間,Memory of Megadosys: War God Space
STAGE_NAME_563,ウルテカの記憶,Memory of Urteca
STAGE_NAME_564,大地の記憶 聖炎の参竜道,Memories of the Earth: Sacred Flame Path
STAGE_NAME_565,ウルテカの記憶 武神の間,Memory of Urteca: War God Space
STAGE_NAME_566,大地の記憶 王家の墓,Memory of Royal Family Mausoleum
STAGE_NAME_567,大地の記憶 火垂れ山野営地,Memory of Firefall Mountain Campsite
STAGE_NAME_569,冥府下りの洞穴 深層部,Cave of Hell's Descent Inner Depths
STAGE_NAME_570,古テキア洞窟,Old Tekia Grotto
STAGE_NAME_571,霧の森,Forest of Mist
STAGE_NAME_572,ダクレイム砦,Dacreim Fortress
STAGE_NAME_573,ダクレイム砦,Dacreim Fortress
STAGE_NAME_574,ジフール砦,Jifule Fortress
STAGE_NAME_575,ラスニテ山麓　湖畔部,Rathnite Foothills Lakeside
STAGE_NAME_576,ティネス砦　大食堂,Fort Thines: Great Dining Hall
STAGE_NAME_578,ボーナスダンジョンロビー,Bonus Dungeon Lobby
STAGE_NAME_579,フェルヤナ荒原 城下,Feryana Wilderness by Castle
STAGE_NAME_580,城塞都市メガド クラフトルーム,Fortress City Megado: Craft Room
STAGE_NAME_581,黒示す王の間,Black King's Room
STAGE_NAME_582,王家の墓,The Royal Family Mausoleum
STAGE_NAME_583,悪しき竜のねぐら,Evil Dragon's Roost
STAGE_NAME_584,エリ警備塔,Eli Guard Tower
STAGE_NAME_585,展望城,Lookout Castle
STAGE_NAME_586,隠匿の王間,The King's Room of Concealment
STAGE_NAME_587,魔界村地下墓地,Makaimura Catacombs
STAGE_NAME_588,悪しき竜のねぐら,Evil Dragon's Roost
STAGE_NAME_589,メガドシス古道,Megadosys Old Road
STAGE_NAME_590,メガドへの隠れ水路,Hidden Waterway to Megado
STAGE_NAME_591,タリーエの小塔,Tarie Small Tower
STAGE_NAME_592,聖遺の塔,Sage Tower Ruins
STAGE_NAME_593,古テキア洞窟,Old Tekia Grotto
STAGE_NAME_594,北の盗賊のアジト,Northern Bandit Hideout
STAGE_NAME_595,火垂れ山野営地,Firefall Mountain Campsite
STAGE_NAME_596,霧の森,Forest of Mist
STAGE_NAME_597,静穏の隠れ洞,Quiet Concealed Cave
STAGE_NAME_598,クルト侯爵邸,Marquise Kurt's residence
STAGE_NAME_599,城塞都市メガド　居住層,Fortress City Megado: Residential Level
STAGE_NAME_600,城塞都市メガド　居住層,Fortress City Megado: Residential Level
STAGE_NAME_601,クルト侯爵邸,Marquise Kurt's residence
STAGE_NAME_602,黒呪の迷宮：入り江,Bitterblack Maze Cove
STAGE_NAME_603,黒呪の迷宮：凱旋者なき庭園,Bitterblack Maze: Garden of Ignominy
STAGE_NAME_604,黒呪の迷宮：羨月楼,Bitterblack Maze: Duskmoon Tower
STAGE_NAME_605,黒呪の迷宮：畏れの天蓋,Bitterblack Maze: Rotunda of Dread
STAGE_NAME_606,イベントビューアー部屋,Event Viewer Room
STAGE_NAME_607,王家の隠れ部屋 メガドシス高地,Royal Family's Hidden Chamber (Megadosys Plateau)
STAGE_NAME_608,王家の隠れ部屋 ウルテカ山岳,Royal Family's Hidden Chamber (Urteca Mountains)
STAGE_NAME_609,崩れた進入路,Crumbling Entrance Path
STAGE_NAME_610,黒呪の迷宮：冥府１,Bitterblack Maze: Netherworld 1
STAGE_NAME_611,黒呪の迷宮：冥府１,Bitterblack Maze: Netherworld 1
STAGE_NAME_612,黒呪の迷宮：冥府１,Bitterblack Maze: Netherworld 1
STAGE_NAME_613,悪しき竜のねぐら,Evil Dragon's Roost
STAGE_NAME_614,黒呪の迷宮：冥府２,Bitterblack Maze: Netherworld 2
STAGE_NAME_615,黒呪の迷宮：冥府２,Bitterblack Maze: Netherworld 2
STAGE_NAME_616,黒呪の迷宮：冥府２,Bitterblack Maze: Netherworld 2
STAGE_NAME_617,黒呪の迷宮：冥府３,Bitterblack Maze: Netherworld 3
STAGE_NAME_618,黒呪の迷宮：冥府３,Bitterblack Maze: Netherworld 3
STAGE_NAME_619,黒呪の迷宮：冥府３,Bitterblack Maze: Netherworld 3
STAGE_NAME_620,黒呪の迷宮：冥府３,Bitterblack Maze: Netherworld 3
STAGE_NAME_621,黒呪の迷宮：冥府３,Bitterblack Maze: Netherworld 3
STAGE_NAME_622,黒呪の迷宮：冥府３,Bitterblack Maze: Netherworld 3
STAGE_NAME_623,黒呪の迷宮：異界,Bitterblack Maze: Rift
STAGE_NAME_624,黒呪の迷宮：異界,Bitterblack Maze: Rift
STAGE_NAME_625,霧の森,Forest of Mist
STAGE_NAME_642,イベントダンジョン,Event Dungeon
STAGE_NAME_643,イベントダンジョン,Event Dungeon
STAGE_NAME_644,イベントダンジョン,Event Dungeon
STAGE_NAME_645,王家の隠れ部屋 メガドシス高地,Royal Family's Hidden Chamber (Megadosys Plateau)
STAGE_NAME_646,王家の隠れ部屋 ウルテカ山岳,Royal Family's Hidden Chamber (Urteca Mountains)
STAGE_NAME_647,王家の隠れ部屋 ウルテカ山岳,Royal Family's Hidden Chamber (Urteca Mountains)
STAGE_NAME_648,王家の隠れ部屋 ウルテカ山岳,Royal Family's Hidden Chamber (Urteca Mountains)
STAGE_NAME_649,3.4導入デモ専用部屋,3.4 Demo Room
STAGE_NAME_650,暗黒の統べる地　西端,West Land of Darkness
STAGE_NAME_651,暗黒の統べる地　南端,South Land of Darkness
STAGE_NAME_652,暗黒の統べる地　東端,East Land of Darkness
STAGE_NAME_653,暗黒の統べる地　北端,North Land of Darkness
STAGE_NAME_654,選択の道,Alternative Path
STAGE_NAME_655,闇に覆われたシェドレアン大神殿,Darkness Shrouded Shadolean Great Temple
STAGE_NAME_656,闇に覆われたメガド王宮層,Darkness Shrouded Mergoda Royal Palace Level
STAGE_NAME_657,闇に覆われたドリード城,Darkness Shrouded Dreed Castle
STAGE_NAME_658,闇に覆われたメルゴダ護政区,Darkness Shrouded Mergoda Security District
STAGE_NAME_659,闇に覆われたメガド回廊,Darkness Shrouded Megado Corridor
STAGE_NAME_660,ボーナスダンジョン【JP】,Bonus Dungeon (JP)
STAGE_NAME_661,ボーナスダンジョン【HO】,Bonus Dungeon (HO)
STAGE_NAME_662,ハイデル地下霊廟,Hidell Catacombs
STAGE_NAME_682,黒呪の迷宮：瘴気の満ちる聖堂,Bitterblack Maze: Noxious Cathedral
STAGE_NAME_683,黒呪の迷宮：裏切り者の処刑塔,Bitterblack Maze: Traitors' Tower
STAGE_NAME_684,黒呪の迷宮：異邦の落都,Bitterblack Maze: Fallen City
STAGE_NAME_685,黒呪の迷宮：黒呪の祭壇,Bitterblack Maze: Altar of the Black Curse
STAGE_NAME_686,黒呪の迷宮：冥府１,Bitterblack Maze: Netherworld 1
STAGE_NAME_687,黒呪の迷宮：冥府１,Bitterblack Maze: Netherworld 1
STAGE_NAME_688,黒呪の迷宮：冥府１,Bitterblack Maze: Netherworld 1
STAGE_NAME_689,黒呪の迷宮：冥府２,Bitterblack Maze: Netherworld 2
STAGE_NAME_690,黒呪の迷宮：冥府２,Bitterblack Maze: Netherworld 2
STAGE_NAME_691,黒呪の迷宮：冥府２,Bitterblack Maze: Netherworld 2
STAGE_NAME_692,黒呪の迷宮：冥府３,Bitterblack Maze: Netherworld 3
STAGE_NAME_693,黒呪の迷宮：冥府３,Bitterblack Maze: Netherworld 3
STAGE_NAME_694,黒呪の迷宮：冥府３,Bitterblack Maze: Netherworld 3
STAGE_NAME_695,黒呪の迷宮：冥府４,Bitterblack Maze: Netherworld 4
STAGE_NAME_696,黒呪の迷宮：冥府４,Bitterblack Maze: Netherworld 4
STAGE_NAME_697,黒呪の迷宮：冥府４,Bitterblack Maze: Netherworld 4
STAGE_NAME_698,黒呪の迷宮：異界,Bitterblack Maze: Rift
STAGE_NAME_699,黒呪の迷宮：異界,Bitterblack Maze: Rift
STAGE_NAME_700,黒呪の迷宮：異界,Bitterblack Maze: Rift
STAGE_NAME_701,黄金宮,The Golden Palace
STAGE_NAME_702,メガド回廊,Megado Corridor
STAGE_NAME_703,展望城,Lookout Castle
STAGE_NAME_704,黒示す王の間,Black King's Room
STAGE_NAME_705,悪しき竜のねぐら,Evil Dragon's Roost
STAGE_NAME_706,闇に覆われたシェドレアン大神殿,Darkness Shrouded Shadolean Great Temple
STAGE_NAME_707,闇に覆われたメガド王宮層,Darkness Shrouded Mergoda Royal Palace Level
STAGE_NAME_708,闇に覆われたドリード城,Darkness Shrouded Dreed Castle
STAGE_NAME_709,闇に覆われたメルゴダ護政区,Darkness Shrouded Mergoda Security District
STAGE_NAME_710,闇に覆われたメガド回廊,Darkness Shrouded Megado Corridor
STAGE_NAME_711,ダクレイム砦,Dacreim Fortress
STAGE_NAME_712,ジフール砦,Jifule Fortress
STAGE_NAME_713,隠匿の王間,The King's Room of Concealment
STAGE_NAME_714,聖炎の参竜道,Sacred Flame Path
STAGE_NAME_715,黒呪の迷宮：冥府４,Bitterblack Maze: Netherworld 4
STAGE_NAME_716,黒呪の迷宮：冥府４,Bitterblack Maze: Netherworld 4
STAGE_NAME_717,黒呪の迷宮：冥府４,Bitterblack Maze: Netherworld 4
STAGE_NAME_718,ダクレイム砦,Dacreim Fortress
STAGE_NAME_719,ガルドノック砦,Gardnox Fortress
STAGE_NAME_720,メルゴダ王宮層,Mergoda Royal Palace Level
STAGE_NAME_721,白竜神殿,The White Dragon Temple
STAGE_NAME_723,ボーナスダンジョン【SP】,Bonus Dungeon (SP)
